Minimum, average, and maximum entropy and complexity values.;;;;;;;
Table 3.  Minimum, average, and maximum entropy and complexity values for all 52 languages.;;;;;;;
English;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
;;Maximum entropy;0,566;0,398;7,69%;-13,83%;"Jos? Rizal, ""Paalaala sa mga Mapagusapin"""
;;Minimum complexity;0,566;0,398;7,69%;-13,83%;"Jos? Rizal, ""Paalaala sa mga Mapagusapin"""
;;Mean complexity;0,515;0,462;-2,05%;0,12%;"Eyji Noblesmith, ""Inang Maralita"""
;;Maximum complexity;0,618;0,504;17,50%;9,08%;"Rio Alma, ""Sa Daigdig Ng Metapora"""
;;Mean entropy and complexity;0,521;0,468;-0,84%;1,25%;"Amado V. Hernandez, ""Inang Wika"""
3;5;Minimum entropy;0,386;0,379;-10,21%;-9,23%;"Jose Corazon de Jesus, ""Sa Pamilihan ng Puso"""
;;Mean entropy;0,429;0,418;-0,23%;0,03%;"Amado V. Hernandez, ""Magandang araw po"""
;;Maximum entropy;0,515;0,488;19,69%;16,82%;"Rio Alma, ""Sa Daigdig Ng Metapora"""
;;Minimum complexity;0,382;0,375;-11,13%;-10,15%;"""Pagdampi ng Uyayi sa Haraya"""
;;Mean complexity;0,429;0,417;-0,31%;-0,16%;"Lamberto E. Antonio, ""Napagawi Ako sa Mababang Paaralan"""
;;Maximum complexity;0,515;0,489;19,78%;17,02%;"Ildefonso Santos, ""Ang Guryon"" "
;;Mean entropy and complexity;0,43;0,419;0,05%;0,39%;"Amado V. Hernandez, ""Inang Wika"""
4;2;Minimum entropy;0,524;0,451;-10,93%;-3,15%;"""Ang Kawayan At Anahaw"""
;;Mean entropy;0,589;0,464;0,03%;-0,31%;"Kris Monta?eza, ""Pagbubuksan Ka ng Pinto"""
;;Maximum entropy;0,701;0,406;19,15%;-12,82%;"Balbino B. Nanong, ""Hiwaga ng Pagibig"""
;;Minimum complexity;0,701;0,406;19,15%;-12,82%;"Balbino B. Nanong, ""Hiwaga ng Pagibig"""
;;Mean complexity;0,565;0,466;-4,03%;0,00%;"""Unang Damdamin"""
;;Maximum complexity;0,618;0,479;5,01%;2,96%;"""Magulang"""
;;Mean entropy and complexity;0,583;0,47;-0,87%;0,98%;"""Ang Lalaki’t Babae Kung Umibig"""
;;;;;;;
Japanese;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;4;Minimum entropy;0,7;0,505;-10,31%;16,47%;????,
;;;;;;;?????
;;Mean entropy;0,78;0,449;0,00%;3,47%;??,
;;;;;;;????
;;Maximum entropy;0,856;0,345;9,68%;-20,43%;??????,
;;;;;;;?????
;;Minimum complexity;0,836;0,345;7,11%;-20,43%;?????,
;;;;;;;?????
;;Mean complexity;0,771;0,434;-1,25%;-0,01%;??,
;;;;;;;????
;;Maximum complexity;0,702;0,51;-10,06%;17,62%;????????,
;;;;;;;??? 
;;Mean entropy and complexity;0,802;0,398;2,71%;-8,28%;??,
;;;;;;;????
3;6;Minimum entropy;0,501;0,49;-17,31%;-13,08%;?????,
;;;;;;;????
;;Mean entropy;0,606;0,571;0,00%;1,25%;????,
;;;;;;;????
;;Maximum entropy;0,723;0,608;19,33%;7,85%;??????,
;;;;;;;????
;;Minimum complexity;0,501;0,49;-17,31%;-13,08%;????,
;;;;;;;?????
;;Mean complexity;0,595;0,564;-1,87%;0,00%;???,
;;;;;;;???
;;;0,595;0,563;-1,87%;-0,14%;??????,
;;;;;;;????
;;Maximum complexity;0,701;0,611;15,70%;8,39%;???,
;;;;;;;????,
;;;;;;;????
;;Mean entropy and complexity;0,603;0,57;-0,42%;1,18%;??????,
;;;;;;;?????
4;3;Minimum entropy;0,57;0,534;-16,32%;-5,67%;???,
;;;;;;;????
;;Mean entropy;0,681;0,584;0,00%;3,15%;???,
;;;;;;;???
;;Maximum entropy;0,8;0,514;17,44%;-9,20%;????????,
;;;;;;;???
;;Minimum complexity;0,799;0,463;17,30%;-18,21%;?????????,
;;;;;;;????
;;Mean complexity;0,631;0,566;-7,32%;0,00%;?????,
;;;;;;;????
;;Maximum complexity;0,699;0,586;2,62%;3,51%;????,
;;;;;;;???
;;Mean entropy and complexity;0,673;0,58;-1,27%;2,42%;??????,
;;;;;;;????
5;2;Minimum entropy;0,6;0,554;-15,21%;-2,20%;?????,
;;;;;;;??? 
;;Mean entropy;0,708;0,586;0,00%;3,38%;?????,
;;;;;;;????
;;Maximum entropy;0,849;0,455;19,98%;-19,68%;?????,
;;;;;;;???
;;Minimum complexity;0,819;0,45;15,74%;-20,56%;?????,
;;;;;;;???
;;Mean complexity;0,767;0,566;8,33%;0,00%;?????,
;;;;;;;?????
;;Maximum complexity;0,698;0,588;-1,36%;3,80%;?????,
;;;;;;;????
;;Mean entropy and complexity;0,694;0,587;-1,90%;3,58%;????,
;;;;;;;????
7;1;Minimum entropy;0,703;0,558;-10,38%;10,20%;????,
;;;;;;;?????
;;Mean entropy;0,784;0,519;-0,01%;2,45%;??,
;;;;;;;????
;;Maximum entropy;0,867;0,4;10,53%;-21,00%;????,
;;;;;;;?????
;;Minimum complexity;0,867;0,4;10,53%;-21,00%;??????
;;;;;;;????
;;Mean complexity;0,798;0,506;1,73%;0,00%;??
;;;;;;;???
;;Maximum complexity;0,703;0,559;-10,38%;10,40%;????
;;;;;;;????
;;Mean entropy and complexity;0,771;0,53;-1,68%;4,71%;??????
;;;;;;;????
;;;;;;;
Chinese;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;4;Minimum entropy;0,643;0,509;-12,83%;6,57%;???, ?????? 
;;Mean entropy;0,738;0,497;0,05%;4,07%;??????????5???????????
;;Maximum entropy;0,845;0,379;14,56%;-20,65%;??? - ????
;;Minimum complexity;0,845;0,379;14,56%;-20,65%;??? - ????
;;Mean complexity;0,763;0,477;3,46%;-0,06%;???? - _????
;;Maximum complexity;0,664;0,517;-9,98%;8,25%;?? - ???????
;;Mean entropy and complexity;0,723;0,504;-2,03%;5,51%;????? - ?????????
3;6;Minimum entropy;0,43;0,425;-15,86%;-14,45%;?? - _????? ??????
;;Mean entropy;0,511;0,499;0,00%;0,42%;?? - _???? ? ?????
;;Maximum entropy;0,611;0,575;19,47%;15,81%;??????? - ????? ????????????????? 
;;Minimum complexity;0,43;0,425;-15,86%;-14,45%;?? - _????? ??????
;;Mean complexity;0,509;0,49;-0,49%;-1,46%;???, ???, ??, ???? - ??????
;;Maximum complexity;0,611;0,575;19,47%;15,81%;??????? - ????? ????????????????? 
;;Mean entropy and complexity;0,512;0,5;0,22%;0,61%;??? - ?????
4;2;Minimum entropy;0,711;0,475;-9,17%;14,76%;?? - ??????
;;Mean entropy;0,783;0,427;0,00%;3,14%;???? - _??????????????????????? 4?4
;;Maximum entropy;0,855;0,33;9,23%;-20,27%;?????????——?????????
;;Minimum complexity;0,855;0,33;9,23%;-20,27%;?????????——?????????
;;Mean complexity;0,794;0,414;1,39%;-0,01%;?? ? - ??????(???????????????)
;;Maximum complexity;0,711;0,475;-9,17%;14,76%;?? - ??????
;;Mean entropy and complexity;0,776;0,43;-0,84%;3,93%;???????
4;3;Minimum entropy;0,5;0,482;-14,90%;-10,82%;???? - ?????——???????????????
;;Mean entropy;0,587;0,546;-0,05%;0,95%;??? - ?????_??????????-???????? (2016)
;;Maximum entropy;0,701;0,587;19,31%;8,61%;?? - _???????-???????
;;Minimum complexity;0,5;0,482;-14,90%;-10,82%;???? - ?????——???????????????
;;Mean complexity;0,578;0,54;-1,70%;-0,01%;
;;;;;;;GTS?????? ???????????????????
;;Maximum complexity;0,7;0,587;19,14%;8,61%;?? - ????? ? ?6.29???
;;Mean entropy and complexity;0,585;0,545;-0,36%;0,88%;???, ??? - ?????-??? (??), ??? 
6;1;Minimum entropy;0,706;0,486;-9,56%;13,42%;????? - ?????“?”???? 
;;Mean entropy;0,781;0,436;-0,01%;1,71%;??? - ?????????????-?????????? (2018)
;;Maximum entropy;0,856;0,341;9,65%;-20,42%;???? - ???
;;Minimum complexity;0,856;0,341;9,65%;-20,42%;???? - ???
;;Mean complexity;0,791;0,428;1,35%;-0,02%;???? - ????
;;Maximum complexity;0,709;0,487;-9,18%;13,65%;?? - ??????? ? ?11.1???
;;Mean entropy and complexity;0,772;0,448;-1,11%;4,49%;?? ?? - ??????????
;;;;;;;
Swedish;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;6;Minimum entropy;0,683;0,607;-12,89%;12,41%;"Per Hasselberg, ""Sveriges Allm?nna Konstf?renings Album VI"""
;;Mean entropy;0,784;0,568;0,00%;5,18%;"Mikael Lybeck, ""Samtal med Lackau under hans levnads sista halv?r :efterl?mnade anteckningar av Klas Uggelberg"""
;;Maximum entropy;0,859;0,431;9,55%;-20,18%;"August Strindberg, ""Till Damaskus"""
;;Minimum complexity;0,852;0,43;8,66%;-20,37%;"A. G. Nathorst, ""Polarforskningen"""
;;Mean complexity;0,795;0,54;1,33%;-0,01%;"Anders Berge, ""Att begripa det f?rflutna: f?rklaring, klassificering och kolligation inom historievetenskapen"""
;;Maximum complexity;0,708;0,613;-9,71%;13,52%;"Carl Gustaf af Leopold , ""Samlade skrifter"""
;;Mean entropy and complexity;0,788;0,538;0,44%;-0,28%;"Fernow, Erik, ""Beskrifning ?fver V?rmland : afdelad i sex tidehvarf : tv?nne under hedendomen och lika m?nga under p?fved?met och lutherska tiden : jemte en kort inledning om landets l?ge, namn, vattendrag, bergstr?ckningar, skogar m.m."""
3;8;Minimum entropy;0,544;0,54;-17,10%;-13,94%;"Johan Henrik Chronwall, ""Vaktkonstaplars och f?ngelsedirekt?rers ber?ttelser om Lifvet p? L?ngholmen"""
;;Mean entropy;0,656;0,634;-0,02%;0,99%;"L. M. Hjertstedt, ""Ber?ttelse om Wadstena centralhospital r?rande helsotillst?ndet i allm?nhet"""
;;Maximum entropy;0,768;0,654;17,04%;4,23%;"A. Carlstr?m, ""Oraklet eller Fr?ga du, s? svarar jag! """
;;Minimum complexity;0,549;0,531;-16,33%;-15,37%;"""Sl?gten Aschan"""
;;Mean complexity;0,646;0,627;-1,60%;-0,01%;"Ola Hansson, ""Liter?ra silhouetter. I. A.U. B??th: Henrik Pontoppidan: Adda Ravnkilde: Albert Gellerstedt: Gustav Esmann: »Ernst Ahlgren»: Gustaf af Geijerstam: Pietari P?iv?rinta"""
;;Maximum complexity;0,748;0,674;13,99%;7,42%;"Karl Johan Warburg, ""Viktor Rydberg, en lefnadsteckning"""
;;Mean entropy and complexity;0,654;0,633;-0,30%;0,82%;"Henning Berger, ""Ur en ensams dagbok"""
4;4;Minimum entropy;0,615;0,594;-14,36%;-5,59%;"Carl Gustaf Laurin, ""Alla ha r?tt : samt andra uppsatser med anledning av v?rldskriget"""
;;Mean entropy;0,718;0,62;0,00%;-1,52%;"Gunnar Hellstr?m, ""Stockholms stads herdaminne, fr?n reformationen intill tillkomsten av Stockholms stift: biofrafisk matrikel"""
;;Maximum entropy;0,834;0,512;16,14%;-18,62%;"Henning Berger, ""Fata Morgana :en Stockholmsnovell /af Henning Berger"""
;;Minimum complexity;0,819;0,508;14,05%;-19,26%;"Ferdinand Paul Schulthess, ""Svensk-fransk ordbok"""
;;Mean complexity;0,692;0,629;-3,62%;0,00%;"Verner von Heidenstam, ""Skogen susar"""
;;Maximum complexity;0,728;0,65;1,38%;3,31%;"John Vilhelm Personne, ""Strindbergs-litteraturen och osedligheten bland skolungdomen"""
;;Mean entropy and complexity;0,716;0,633;-0,27%;0,65%;"Carl G. Laurin, ""P.A. Norstedt & S?ner, Jubileumsskrift 1823-1923"""
4;5;Minimum entropy;0,502;0,501;-17,42%;-16,40%;"Bernh Estlander, ""Allm?nna historien i ber?ttelser"""
;;Mean entropy;0,608;0,601;0,00%;0,34%;"Hilma Angered-Strandberg, ""?desglimtar"""
;;Maximum entropy;0,72;0,679;18,44%;13,30%;"Cla?s Lundin, ""Nya Stockholm"""
;;Minimum complexity;0,502;0,501;-17,42%;-16,40%;"Bernh Estlander, ""Allm?nna historien i ber?ttelser"""
;;Mean complexity;0,605;0,599;-0,41%;0,00%;"Gustaf Janson, ""Kotteriet: En Sommarbok"""
;;Maximum complexity;0,717;0,683;17,95%;13,97%;"Atterdag Wermelin, ""Karl Marx' v?rdeteori popul?rt framst?ld"""
;;Mean entropy and complexity;0,609;0,602;0,13%;0,46%;"Jonas Jonsson Stadling, ""En Chung-Chus Anforare"""
5;3;Minimum entropy;0,553;0,546;-16,98%;-14,12%;"Gustaf Janson, ""Gustaf Jansons skrifter"""
;;Mean entropy;0,666;0,642;0,00%;1,05%;"Gustaf Edvard Klemming, ""Sveriges bibliografi 1481-1600. Band I, h?ft. 1-4. 1481-1530"""
;;Maximum entropy;0,771;0,663;15,75%;4,28%;"Maria Sandel, ""Vid sv?ltgr?nsen och andra ber?ttelser :skildringar ur stockholmslifvet"""
;;Minimum complexity;0,553;0,546;-16,98%;-14,12%;"Gustaf Janson, ""Gustaf Jansons skrifter"""
;;Mean complexity;0,66;0,636;-0,99%;-0,01%;"Johan Wilhelm Warholm, ""Skara stifts herdaminne"""
;;Maximum complexity;0,755;0,68;13,35%;6,95%;"Emanuel S. Ekman, ""W?rmeland i sitt ?mne och i sin uppodling"""
;;Mean entropy and complexity;0,664;0,641;-0,31%;0,80%;"Johan Levin Carlbom, ""Magnus Dureels negotiation i K?penhamn 1655-57"""
6;2;Minimum entropy;0,627;0,607;-14,80%;-6,00%;"""Vid kongl. expeditions-secreteraren Schr?derheims och fr?ken v. Stapelmohrs br?llop 1776."""
;;Mean entropy;0,736;0,66;0,00%;2,23%;"Elias Magnus Fries, ""Botaniska utflygter. En samling af str?dda tillf?llighets- skrifter"""
;;Maximum entropy;0,844;0,583;14,69%;-9,71%;"Olof Bergklint, ""Vittra arbeten"""
;;Minimum complexity;0,843;0,569;14,55%;-11,88%;"B?rje Cederholm, Nils Sund, ""Natur och kulturs handlexikon. Svensk-spanskt"""
;;Mean complexity;0,688;0,646;-6,49%;0,00%;"Viktor E. Lennstrand, ""Hvad hafva myndigheterna utr?ttat med sitt straff?"""
;;Maximum complexity;0,747;0,662;1,50%;2,52%;"""Vem ?r vem inom handel och industri? 1944-45"""
;;;;;;;
;;;;;;;
;;;;;;;
;;Mean entropy and complexity;0,726;0,659;-1,35%;2,07%;"Elin W?gner, ""Kvarteret Oron. En Stockholmshistoria"""
;;;;;;;
Indonesian;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;4;Minimum entropy;0,681;0,389;-13,66%;2,24%;"Agus Sunyoto, ""Eksistensi Islam Nusantara"""
;;Mean entropy;0,789;0,387;-0,01%;1,58%;"Danarto, ""Proses, proses, proses, proses, proses, proses, proses"""
;;Maximum entropy;0,857;0,31;8,62%;-18,59%;"""Laporan SDKI 2017 Kesehatan Reproduksi Remaja"""
;;Minimum complexity;0,857;0,31;8,62%;-18,59%;"""Laporan SDKI 2017 Kesehatan Reproduksi Remaja"""
;;Mean complexity;0,78;0,381;-1,12%;-0,01%;"Badan Litbang Kemenkes, ""Pedoman Pelaksanaan Pendampingan Penanggulangan Daerah Bencana Kesehatan (PDBK) - Buku 2"""
;;Maximum complexity;0,761;0,461;-3,55%;21,07%;"Emha Ainun Nadjib, ""Surat kepada Kanjeng Nabi"""
;;Mean entropy and complexity;0,807;0,344;2,32%;-9,60%;"""Enigma 2: Menguak Fakta-fakta Misterius Paling Fenomenal di Dunia"""
3;5;Minimum entropy;0,6;0,539;-14,11%;5,88%;"""Formulir Isian Permohonan Jantung"""
;;Mean entropy;0,699;0,534;-0,01%;4,80%;"""Hadist 9 imam Lengkap"""
;;Maximum entropy;0,8;0,409;14,52%;-19,65%;"""Pustaka Ustaka Ilmu Sunni Salagiyah KTB"""
;;Minimum complexity;0,8;0,409;14,52%;-19,65%;"""Pustaka Ustaka Ilmu Sunni Salagiyah KTB"""
;;Mean complexity;0,716;0,509;2,52%;0,00%;"""Aktifitas Vulkanik Palsu Gunung Kelud Dan Merapi S"""
;;Maximum complexity;0,698;0,565;-0,08%;10,99%;"""Buku Annisa 20 Halaman 13c Jan"""
;;Mean entropy and complexity;0,728;0,47;4,14%;-7,70%;"""Arsip Koran Kompas edisi Agustus 2012"""
3;6;Minimum entropy;0,56;0,535;-15,26%;-4,75%;"""Kerala muslim navodhanm"""
;;Mean entropy;0,661;0,581;0,00%;3,38%;"""Humor Orang Madura"""
;;Maximum entropy;0,76;0,515;15,00%;-8,31%;"H.M. Zainuddin, ""Tarich Atjeh dan Nusantara"""
;;Minimum complexity;0,562;0,475;-14,96%;-15,43%;"""Pelaksanaan Pencapaian SDGs - 2017"""
;;Mean complexity;0,595;0,562;-9,91%;0,00%;"""Aktivitas antibakteri getan pohon Kamboja Kuning (Plumeria acuminata) Terhadap Staphylococcus aureus"""
;;Maximum complexity;0,706;0,602;6,83%;7,18%;"""Pertemuan 14 - Kitab Fadhlul Islam - KETERASINGAN ISLAM - Ustadz Rian Abu Rabbany hafizhahullah"""
;;Mean entropy and complexity;0,646;0,582;-2,31%;3,58%;"""Kecubung Pengasihan"" Bengkel Muda Surabaya: Beban Ide yang Tak Tersangga (Bengkel Muda Surabaya's ""Kecubung Pengasihan"""
5;2;Minimum entropy;0,685;0,581;-10,24%;11,32%;"""PISS-KTB - Kumpulan Tanya-Jawab Keagamaan - 2015"""
;;Mean entropy;0,763;0,556;-0,02%;6,49%;"""Cerita Rakyat Nusantara & Sejarah"""
;;Maximum entropy;0,862;0,433;12,95%;-17,04%;"""Sankara Pada Bhushna"""
;;Minimum complexity;0,817;0,42;7,05%;-19,53%;"""Kumpulan Buku Islami"""
;;Mean complexity;0,799;0,522;4,68%;-0,01%;"""Poema Para Lavar Palabras"""
;;Maximum complexity;0,698;0,587;-8,54%;12,47%;"""Kamus Besar Bahasa Indonesia"""
;;Mean entropy and complexity;0,787;0,49;3,07%;-6,05%;"Daun Malam, ""Panduan Ringkas Gerilya Kota"""
7;1;Minimum entropy;0,828;0,467;-4,45%;19,44%;"Ustadz Benjamin Az Zohiri hafidzahulloh, ""Putra Putra Khalifah"""
;;Mean entropy;0,866;0,399;-0,02%;2,13%;Kumpulan kisah biographi & Sejarah dalam islam
;;Maximum entropy;0,905;0,308;4,43%;-21,22%;"""Senopati Pamungkas"""
;;Minimum complexity;0,894;0,308;3,16%;-21,22%;"Budi Wijayanto, Anang Sucahyo, Siwitri Munambar, Joko Triyono, ""Analisis Budidaya Melon Dengan Menggunakan Sistem Irigasi Tetes (infus) di Lahan Pasir"""
;;Mean complexity;0,87;0,391;0,34%;-0,08%;"""AKuI Awards 2022"""
;;Maximum complexity;0,828;0,468;-4,45%;19,70%;"Sanento Yuliman, ""The Silent World is welcomed by many"""
;;Mean entropy and complexity;0,875;0,375;0,96%;-3,98%;"Sangkakalam, ""Kita Semua Adalah Penyintas, Kita Semua Adalah Pelaku"""
;;;;;;;
Icelandic;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;4;Minimum entropy;0,622;0,508;-17,61%;10,93%;"Helgi Gr?msson, ""?ri? 1918 kennslulei?beiningar"""
;;Mean entropy;0,755;0,473;0,00%;3,22%;"Hl?n Agnarsd?ttir, ""Bl?min fr? Ma?"" "
;;Maximum entropy;0,844;0,368;11,80%;-19,64%;"Fri?rik Gunnar Olgeirsson, ""R?ktun f?lks og foldar"""
;;Minimum complexity;0,837;0,365;10,87%;-20,29%;"Anna Hinriksd?ttir, ""?stin ? t?mum ?mmu og afa"""
;;Mean complexity;0,774;0,458;2,46%;0,00%;"?lafur Haukur S?monarson, ""L?ki? ? rau?a b?lnum"""
;;Maximum complexity;0,658;0,516;-12,84%;12,68%;"Helgi Hallgr?msson, ""Sveppab?kin"""
;;Mean entropy and complexity;0,736;0,492;-2,45%;7,50%;"?orgr?mur ?r?insson, ""Bak vi? bl?u augun"""
3;6;Minimum entropy;0,487;0,478;-17,09%;-13,48%;"Svanhildur Kr. Sverrisd?ttir, ""Heimir : handb?k um heimildaritun"""
;;Mean entropy;0,587;0,558;0,00%;1,02%;"""Einn handlaginn : og 9 a?rar er?t?skar sm?s?gur ? samstarfi vi? Eriku Lust."""
;;Maximum entropy;0,71;0,6;20,88%;8,60%;"Ragnar Ingi A?alsteinsson, ""Gullv?r : kennslub?k ? m?lfr??i fyrir unglingastig"""
;;Minimum complexity;0,487;0,477;-17,09%;-13,66%;"?orsteinn Antonsson, ""? ja?rinum : afm?lisrit ?orsteins Antonssonar / sami? af honum sj?lfum."""
;;Mean complexity;0,578;0,553;-1,53%;0,08%;"Gu?ni L?ndal Benediktsson, ""?a? kom a? nor?an - Au?lesin s?gub?k"""
;;Maximum complexity;0,693;0,607;17,98%;9,87%;"Bjarni F. Einarsson, ""Landn?m og landn?msf?lk"""
;;Mean entropy and complexity;0,586;0,558;-0,30%;1,01%;"Gu?mundur S. Brynj?lfsson, ""T?magar?urinn : e?a Leitin a? fegur?inni"""
4;3;Minimum entropy;0,561;0,529;-16,24%;-6,70%;"Ragnar Ingi A?alsteinsson, ""Limrur fyrir unglingastig grunnsk?la"""
;;Mean entropy;0,67;0,581;0,00%;2,43%;"Hallgr?mur Helgason , ""10 r?? til a? h?tta a? drepa f?lk og byrja a? vaska upp"""
;;Maximum entropy;0,799;0,509;19,29%;-10,23%;"Birgir R?nar Dav??sson, ""Fyrstur a? altarinu"""
;;Minimum complexity;0,783;0,478;16,91%;-15,69%;"Hei?ur ?ttarsd?ttir, ""Sj?krasaga Br?a"""
;;Mean complexity;0,627;0,567;-6,43%;0,00%;"??r?ur Kristinsson, ?orger?ur J. Einarsd?ttir, Kolbr?n Hrund Sigurgeirsd?ttir, ""Kynl?fsmenning framhaldssk?lanema fr? sj?narhorni ungra karla"""
;;Maximum complexity;0,701;0,585;4,66%;3,18%;"J?n ?rnason, ?lafur Ingi Sigurgeirsson, Bjarni J?nasson, Helgi Thorarensen, Rannveig Bj?rnsd?ttir, ""Pl?ntuhr?efni ? bleikjuf??ri ? sta? fiskimj?ls og l?sis"""
;;Mean entropy and complexity;0,662;0,579;-1,11%;2,12%;"Sixxxi, ""Leitin : hugrenningar ge?sj?klings"""
5;2;Minimum entropy;0,544;0,517;-17,63%;-8,84%;"""Einst?k ?slensk upplifun : vegur til vaxtar."""
;;Mean entropy;0,66;0,58;-0,01%;2,29%;"""Ungt f?lk utan sk?la 2009 : f?lagsleg sta?a 16-20 ?ra ungmenna ? ?slandi sem ekki stunda n?m vi? framhaldssk?la ?ri? 2009"""
;;Maximum entropy;0,786;0,545;19,01%;-3,90%;"""Unglingar og sykurs?ki"""
;;Minimum complexity;0,544;0,517;-17,63%;-8,84%;"H?kon S?berg Bj?rnsson, ?sa Helga Ragnarsd?ttir, ""S?rfr??ingsk?pan - n?m ? hlutverki : ranns?kn ? notkun kennslua?fer?a leiklistar ? sk?lastarfi me? ungum b?rnum"""
;;Mean complexity;0,756;0,567;14,51%;0,00%;"P?tur Haf??r J?nsson, ""Hlj??spor"""
;;Maximum complexity;0,697;0,587;5,53%;3,50%;"""Varna?armerktar efnav?rur : k?nnun ? framhaldssk?lum ? merkingum efnavara og ? a?st??u til a? geyma og nota ??r."""
;;Mean entropy and complexity;0,654;0,579;-1,03%;2,02%;"Halld?r Laxness Halld?rsson, ""?rar, martra?ir og hlutir sem ?g hugsa um ?egar ?g er a? keyra"""
7;1;Minimum entropy;0,626;0,548;-14,92%;2,53%;"??ra Valsd?ttir, "" ?slenskur barnamatur : marka?ur og opinberar kr?fur"""
;;Mean entropy;0,736;0,551;0,00%;3,10%;"Bjarni F. Einarsson, ""B?ta ? ?skalista"
;;;;;;;"B?rinn sem hvarf: ? ?sku og eldi 1362"""
;;Maximum entropy;0,853;0,426;15,93%;-20,30%;"""Uppl?singa?ryggi, net?ryggi og pers?nuvernd - Uppl?singa?ryggisst?ringar = Information security, cybersecurity and privacy protection - Information security controls """
;;Minimum complexity;0,852;0,426;15,79%;-20,30%;"Krist?n Steinsd?ttir, ""Ekki vera s?r"""
;;Mean complexity;0,765;0,534;3,93%;0,00%;"J?l?a Magn?sd?ttir, ""Sektarlaus s?tindi sem gefa lj?ma"""
;;Maximum complexity;0,684;0,56;-7,04%;4,78%;"Sigur?ur ?rnason, Gu?mundur Gu?mundsson, Einar ?rn Hreinsson, ""Atvinnutekjur 2008-2016 : eftir atvinnugreinum og landshlutum"" "
;;Mean entropy and complexity;0,724;0,554;-1,61%;3,70%;"Helgi Gr?msson, ""Au?vita? : kennslulei?beiningar : heimili?"""
;;;;;;;
Polish;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;3;Minimum entropy;0,662;0,385;-11,48%;10,00%;"W. Ludwik Anczyc, ""Wiersz do Kr?la Pruskiego"""
;;Mean entropy;0,748;0,357;-0,06%;1,84%;"Maciej Їerdziсski, ""Krew i deszcz"""
;;Maximum entropy;0,851;0,28;13,73%;-19,99%;"Artur Oppman, ""Szopka"""
;;Minimum complexity;0,851;0,28;13,73%;-19,99%;"Artur Oppman, ""Szopka"""
;;Mean complexity;0,712;0,35;-4,83%;-0,05%;"Jan Kochanowski, ""Threny"" "
;;Maximum complexity;0,715;0,421;-4,37%;20,11%;Kazimierz Nitsch, Jan Nepomucen and Jan
;;;;;;;"Micha? Rozwadowski, ""J?zyk Polski"""
;;Mean entropy and complexity;0,724;0,337;-3,21%;-3,76%;"Wac?aw Aleksander Maciejowski, ""Legendy i pie?ni ludu polskiego nowo odkryte"""
3;4;Minimum entropy;0,651;0,509;-14,17%;16,44%;"Wiesіaw Gwiazdowski, ""Transmisja do..."""
;;Mean entropy;0,769;0,378;1,39%;-13,61%;"Juliusz Slowacki, ""Anhelli"""
;;Maximum entropy;0,838;0,382;10,53%;-12,67%;"Karol Langie, ""O Sprawie Glodowej W Galicyi 1866 Luzne Uwagi"""
;;Minimum complexity;0,838;0,382;10,53%;-12,67%;"Karol Langie, ""O Sprawie Glodowej W Galicyi 1866"
;;;;;;;"Luzne Uwagi"""
;;Mean complexity;0,788;0,438;3,86%;0,03%;"Bruno Schulz, ""Sklepy cynamonowe"""
;;Maximum complexity;0,656;0,512;-13,56%;17,09%;"Adam Mickiewicz, ""Pan Tadeusz"""
;;Mean entropy and complexity;0,685;0,425;-9,75%;-2,77%;"Adam Mickiewicz, ""Bajki"""
3;6;Minimum entropy;0,481;0,461;-15,08%;-14,02%;"K. Wachtel, ""Przyjaciel Dziatek"
;;;;;;;"Wierszyki dla -- Dziatwy Polskiej w Ameryce"""
;;Mean entropy;0,562;0,522;-0,68%;-2,76%;"Adam Mickiewicz, ""Zywila"
;;;;;;;"Powiastka z Dziej?w Litewskich"""
;;Maximum entropy;0,677;0,576;19,61%;7,40%;"Adam Mickiewicz, ""Pan Tadeusz"""
;;Minimum complexity;0,481;0,461;-15,08%;-14,02%;"K. Wachtel, ""Przyjaciel Dziatek Wierszyki dla -- Dziatwy Polskiej w Ameryce"""
;;Mean complexity;0,585;0,536;3,29%;-0,21%;"Adam Mickiewicz, ""Balady i romanse"""
;;Maximum complexity;0,634;0,586;12,05%;9,21%;"Maciej ?ubie?ski, ""Ironia Pozor?w"""
;;Mean entropy and complexity;0,57;0,547;0,78%;1,84%;"Zygmunt Krasi?ski, ""Moja Beatrice"""
4;2;Minimum entropy;0,625;0,455;-15,92%;16,04%;"Krzysztof Kochacski, ""D. L. Net"""
